rst  38h        FF     1 
inc  a          3C     1 
dec  a          3D     1 
dec  hl         2B     1 
inc  hl         23     1 
ld   a,*        3E     2 
ld   b,*        06     2 
ld   c,*        0E     2 
ld   l,*        2E     2 
ld   h,*        26     2 
ld   d,*        16     2 
ld   e,*        1E     2 
cp   *          FE     2 
xor  a          AF     1 
or   a          B7     1 
ld   a, (hl)    7E     1 
ld   (hl), a    77     1 
ld   a, (*)     3A     3 
ld   (*), a     32     3 
djnz *          10     2 
ld   hl, (*)    2A     3 
ld   hl,*       21     3 
inc  de         13     1 
jp   *          C3     3 
jr   *          18     2 
jr   z,*        28     2 
jp   z,*        CA     3 
ldir            EDB0   2 
push hl         E5     1 
pop  hl         E1     1 
ret             C9     1 
and  *          E6     2 
and  a          A7     1 
add  hl, bc     09     1 
add  hl, de     19     1 
add  hl, hl     29     1 
call *          CD     3 
call c,*        DC     3 
call nc,*       D4     3 
call nz,*       C4     3 
ld   de, (*)    ED5B   4 
ld   de,*       11     3 
ld   bc, (*)    ED4B   4 
ld   bc,*       01     3 
sub  *          D6     2 
xor  b          A8     1 
xor  *          EE     2 
or   *          F6     2 
pop  bc         C1     1 
pop  de         D1     1 
push bc         C5     1 
push de         D5     1 
inc  b          04     1 
sla  a          CB27   2 
sra  a          CB2F   2 
srl  a          CB3F   2 
call z,*        CC     3 
ld   (hl),*     36     2 
add  a, (hl)    86     1 
add  a, b       80     1 
nop             00     1 
set  3, (iy*)   FDCBDE 4 
res  3, (iy*)   FDCB9E 4 
add  a, c       81     1 
add  a, d       82     1 
add  a, e       83     1 
add  a, h       84     1 
add  a, l       85     1 
add  a,*        C6     2 
add  hl, sp     39     1 
and  (hl)       A6     1 
and  b          A0     1 
and  c          A1     1 
and  d          A2     1 
and  e          A3     1 
and  h          A4     1 
and  l          A5     1 
call m,*        FC     3 
call p,*        F4     3 
call pe,*       EC     3 
call po,*       E4     3 
ccf             3F     1 
cp   (ix*)      DDBE   3 
cp   (iy*)      FDBE   3 
cp   (hl)       BE     1 
cp   a          BF     1 
cp   b          B8     1 
cp   c          B9     1 
cp   d          BA     1 
cp   e          BB     1 
cp   h          BC     1 
cp   l          BD     1 
cpd             EDA9   2 
cpdr            EDB9   2 
cpir            EDB1   2 
cpi             EDA1   2 
cpl             2F     1 
daa             27     1 
dec  (ix*)      DD35   3 
dec  (iy*)      FD35   3 
dec  (hl)       35     1 
dec  a          3D     1 
dec  b          05     1 
dec  bc         0B     1 
dec  c          0D     1 
dec  d          15     1 
dec  de         1B     1 
dec  e          1D     1 
dec  h          25     1 
dec  ix         DD2B   2 
dec  iy         FD2B   2 
dec  l          2D     1 
dec  sp         3B     1 
di              F3     1 
ei              FB     1 
ex   af, af'    08     1 
ex   de, hl     EB     1 
exx             D9     1 
halt            76     1 
im   0          ED46   2 
im   1          ED56   2 
im   2          ED5E   2 
in   a, (c)     ED78   2 
in   b, (c)     ED40   2 
in   c, (c)     ED48   2 
in   d, (c)     ED50   2 
in   e, (c)     ED58   2 
in   h, (c)     ED60   2 
in   l, (c)     ED68   2 
in   a, (*)     DB     2 
inc  (ix*)      DD34   3 
inc  (iy*)      FD34   3 
inc  (hl)       34     1 
inc  bc         03     1 
inc  c          0C     1 
inc  d          14     1 
inc  e          1C     1 
inc  h          24     1 
inc  ix         DD23   2 
inc  iy         FD23   2 
inc  l          2C     1 
inc  sp         33     1 
ind             EDAA   2 
indr            EDBA   2 
ini             EDA2   2 
inir            EDB2   2 
jp   (ix)       DDE9   2 
jp   (iy)       FDE9   2 
jp   (hl)       E9     1 
jp   c,*        DA     3 
jp   m,*        FA     3 
jp   nc,*       D2     3 
jp   nz,*       C2     3 
jp   p,*        F2     3 
jp   pe,*       EA     3 
jp   po,*       E2     3 
jr   c,*        38     2 
jr   nc,*       30     2 
jr   nz,*       20     2 
ld   (bc), a    02     1 
ld   (de), a    12     1 
ld   (hl), b    70     1 
ld   (hl), c    71     1 
ld   (hl), d    72     1 
ld   (hl), e    73     1 
ld   (hl), h    74     1 
ld   (hl), l    75     1 
ld   (*), bc    ED43   4 
ld   (*), de    ED53   4 
ld   (*), hl    22     3 
ld   (*), ix    DD22   4 
ld   (*), iy    FD22   4 
ld   (*), sp    ED73   4 
ld   a, (bc)    0A     1 
ld   a, (de)    1A     1 
ld   a, (ix*)   DD7E   3 
ld   a, (iy*)   FD7E   3 
ld   a, a       7F     1 
ld   a, b       78     1 
ld   a, c       79     1 
ld   a, d       7A     1 
ld   a, e       7B     1 
ld   a, h       7C     1 
ld   a, i       ED57   2 
ld   a, l       7D     1 
ld   a, r       ED5F   2 
ld   b, (ix*)   DD46   3 
ld   b, (iy*)   FD46   3 
ld   b, (hl)    46     1 
ld   b, a       47     1 
ld   b, b       40     1 
ld   b, c       41     1 
ld   b, d       42     1 
ld   b, e       43     1 
ld   b, h       44     1 
